"canonical_label","cluster_size","mode","confirmed_by","confirmed_at","source","notes","residuals_subcategory","residuals_subexplanation"
"Code Transparency Challenge","1","r","TBS","2026-04-19T12:04:11+00:00","step4_llmassist","","constraint","Describes a limiting condition where the lack of transparency restricts the user's understanding or trust."
"Need For Examples And Tutorials","1","r","TBS","2026-04-19T12:24:28+00:00","step4_llmassist","","meta","Identifies an adoption driver or inhibitor related to user onboarding and learning resources."
"Increased Team Confidence","1","r","TBS","2026-04-19T12:21:07+00:00","step4_llmassist","","outcome","Measures a positive effect on user sentiment and psychological safety within a team."
"Preventing Learning Bypass","1","r","TBS","2026-04-19T12:25:38+00:00","step4_llmassist","","constraint","Describes a pedagogical limitation or restriction placed on the system to ensure students actually learn."
"Reduced Typing Effort","1","r","TBS","2026-04-19T12:27:24+00:00","step4_llmassist","","outcome","Measures a direct effect on productivity and physical effort reduction during the interaction."
"Local Exploitation Bias","1","r","TBS","2026-04-19T12:23:36+00:00","step4_llmassist","","constraint","Describes a cognitive limitation or bias that restricts the scope of user exploration."
"Novice Developer Liability","1","r","TBS","2026-04-19T12:24:47+00:00","step4_llmassist","","constraint","Describes a limiting condition related to a skill gap that negatively impacts the interaction."
"Problem Interpretation Errors","1","r","TBS","2026-04-19T12:25:45+00:00","step4_llmassist","","constraint","Describes a limiting condition where errors in understanding restrict the success of the interaction."
"High Resolution By Category","1","r","TBS","2026-04-19T12:18:31+00:00","step4_llmassist","","outcome","Measures an effect related to accuracy or successful error-reduction within specific categories."
"High Utility Overrules Cost","1","r","TBS","2026-04-19T12:18:40+00:00","step4_llmassist","","meta","Describes an adoption driver where perceived utility outweighs the associated costs."
"Agent Configuration And Deployment","1","5","TBS","2026-04-19T11:48:11+00:00","step4_llmassist","","",""
"Over-Documentation Challenge","1","r","TBS","2026-04-19T12:25:02+00:00","step4_llmassist","","constraint","Represents a limiting condition where excessive documentation increases cognitive load or hinders interaction."
"Task Complexity Increases Non-Determinism","1","r","TBS","2026-04-19T12:46:25+00:00","step4_llmassist","","meta","A meta-observation or study finding about how task complexity affects the determinism of the phenomenon."
"Learning Programming Concepts","1","r","TBS","2026-04-19T12:22:45+00:00","step4_llmassist","","outcome","Measures a positive educational effect and learning gain resulting from the interaction."
"Prompting Skill Requirements","1","r","TBS","2026-04-19T12:26:28+00:00","step4_llmassist","","constraint","Describes a skill gap or requirement that acts as a limiting condition for effective use."
"Activity Transition Modelling","1","r","TBS","2026-04-19T11:47:06+00:00","step4_llmassist","","meta","Refers to a methodological approach or research framing for modeling user transitions."
"Knowledge Source Mixing Issues","1","r","TBS","2026-04-19T12:22:36+00:00","step4_llmassist","","constraint","Describes a limiting challenge or friction encountered when combining different knowledge sources."
"Complex Condition Failure","1","r","TBS","2026-04-19T12:04:52+00:00","step4_llmassist","","constraint","Represents a limitation where complex conditions restrict the system's ability to succeed."
"Easier Maintainability","1","r","TBS","2026-04-19T12:13:32+00:00","step4_llmassist","","outcome","Measures a positive effect on the maintainability and long-term velocity of the codebase."
"Component Coupling Complexity","1","r","TBS","2026-04-19T12:04:55+00:00","step4_llmassist","","constraint","Describes structural complexity that acts as a limiting condition on system interaction."
"Ip And Ethical Risks","1","r","TBS","2026-04-19T12:22:14+00:00","step4_llmassist","","meta","Represents ethical and intellectual property concerns that act as adoption inhibitors."
"Suboptimal Ui Aesthetics","1","r","TBS","2026-04-19T12:46:10+00:00","step4_llmassist","","constraint","Describes a limiting condition related to poor user interface aesthetics that restricts effective interaction."
"Irrelevant Suggestions","1","r","TBS","2026-04-19T12:22:20+00:00","step4_llmassist","","outcome","Measures a negative effect regarding the accuracy and relevance of system outputs."
"High Interaction Volume","1","r","TBS","2026-04-19T12:18:25+00:00","step4_llmassist","","outcome","Measures the volume or frequency of interactions as an observable effect."
"Defect Prediction Limitation","1","r","TBS","2026-04-19T12:11:54+00:00","step4_llmassist","","constraint","Explicitly describes a limiting condition in the system's predictive capabilities."
"Documentation Synchronization Failure","1","r","TBS","2026-04-19T12:13:12+00:00","step4_llmassist","","outcome","Measures a negative effect or error in keeping documentation accurately synchronized."
"Engineering Trust Requirements","1","r","TBS","2026-04-19T12:14:18+00:00","step4_llmassist","","meta","Describes trust requirements that act as fundamental drivers or inhibitors for adoption."
"Mandatory Human Supervision","2","r","TBS","2026-04-19T11:27:19+00:00","step4_llmassist","","constraint","Describes a limiting condition where human oversight is strictly required, restricting autonomy."
"Commit Message Generation","1","5","TBS","2026-04-19T12:04:31+00:00","step4_llmassist","","",""
"High Evaluation Agreement","1","r","TBS","2026-04-19T12:18:18+00:00","step4_llmassist","","meta","Refers to a methodological finding regarding inter-rater reliability and agreement in research evaluations."
"Negative Wellbeing Impacts","1","r","TBS","2026-04-19T12:24:36+00:00","step4_llmassist","","outcome","Measures a negative effect on user satisfaction and overall psychological wellbeing."
"Controlled Field Experiment","1","r","TBS","2026-04-19T12:06:37+00:00","step4_llmassist","","meta","Explicitly names a research methodology rather than an interaction effect or system property."
"Insecure Suggestion Exposure","1","r","TBS","2026-04-19T12:21:19+00:00","step4_llmassist","","outcome","Measures the negative effect or rate of insecure code generated during interactions."
"Comparative Usage Study","1","r","TBS","2026-04-19T12:04:46+00:00","step4_llmassist","","meta","Describes the research framing and methodology used to evaluate the tool."
"Explanation Transformation Success","1","r","TBS","2026-04-19T12:16:08+00:00","step4_llmassist","","outcome","Measures the success rate and effectiveness of the AI's generated explanations."
"Non-It Staff Participation","1","r","TBS","2026-04-19T12:24:46+00:00","step4_llmassist","","meta","Describes the demographic framing and participant scope of the research study."
"High Usability And Low Workload","1","r","TBS","2026-04-19T12:18:35+00:00","step4_llmassist","","outcome","Measures the positive effects on user satisfaction and cognitive load reduction."
"Consistent Polite Tone","1","r","TBS","2026-04-19T12:06:20+00:00","step4_llmassist","","outcome","Measures a specific qualitative effect and characteristic of the generated output."
"Classification Limitations","1","r","TBS","2026-04-19T12:00:26+00:00","step4_llmassist","","constraint","Explicitly describes a limiting condition or restricted scope of the system."
"Exact Match Generation","1","r","TBS","2026-04-19T12:16:01+00:00","step4_llmassist","","outcome","Measures the accuracy and precision effect of the model's generated outputs."
"Error Fixing Queries","1","2","TBS","2026-04-19T12:14:40+00:00","step4_llmassist","","",""
"Superior Test Naming","1","r","TBS","2026-04-19T12:46:13+00:00","step4_llmassist","","outcome","Measures the quality and positive effect of the AI-generated test names."
"Knowledge Transfer Success","1","r","TBS","2026-04-19T12:22:37+00:00","step4_llmassist","","outcome","Measures the learning gain and educational effect resulting from the interaction."
"Low Direct Code Adoption","1","r","TBS","2026-04-19T12:23:43+00:00","step4_llmassist","","outcome","Measures the acceptance rate and usage effect of the generated code."
"Autonomous Inspection","1","4","TBS","2026-04-19T11:59:11+00:00","step4_llmassist","","",""
"Reluctance To Recommend","1","r","TBS","2026-04-19T12:27:28+00:00","step4_llmassist","","outcome","Measures user sentiment and satisfaction, reflecting a negative outcome of the experience."
"Low-Resource Language Barrier","1","r","TBS","2026-04-19T12:23:49+00:00","step4_llmassist","","constraint","Explicitly identifies a limiting condition and capability gap that restricts the interaction."
"Ai For Vulnerability Remediation","1","5","TBS","2026-04-19T11:50:48+00:00","step4_llmassist","","",""
"Hackathon Observation Study","1","r","TBS","2026-04-19T12:17:48+00:00","step4_llmassist","","meta","Explicitly names the research methodology and observational framing of the study."
"Automated Inclusivity Testing","1","5","TBS","2026-04-19T11:58:58+00:00","step4_llmassist","","",""
"Mixed Population Survey","1","r","TBS","2026-04-19T12:24:03+00:00","step4_llmassist","","meta","Describes the research methodology and demographic framing used to gather data."
"Negative Performance Impact","1","r","TBS","2026-04-19T12:24:34+00:00","step4_llmassist","","outcome","Explicitly measures a detrimental effect on user velocity or productivity."
"Shift To Private Problem-Solving","1","r","TBS","2026-04-19T12:40:41+00:00","step4_llmassist","","meta","Represents a meta-observation and study finding about macro behavioral shifts in adoption."
"Educational Content Generation","1","2","TBS","2026-04-19T12:13:52+00:00","step4_llmassist","overrode LLM 5 -> 2","",""
"High User Preference","1","r","TBS","2026-04-19T12:18:39+00:00","step4_llmassist","","outcome","Measures user satisfaction and positive sentiment regarding the tool."
"Chat-Based Query","1","2","TBS","2026-04-19T12:00:15+00:00","step4_llmassist","","",""
"Llm Visual Comprehension","1","r","TBS","2026-04-19T12:23:28+00:00","step4_llmassist","","affordance","Describes an enabling capability and surface that shapes how users can interact."
"Semantic Context Awareness","1","r","TBS","2026-04-19T12:40:27+00:00","step4_llmassist","","affordance","Describes an enabling technical capability that shapes interactions by providing context."
"Api Inference Capability","1","r","TBS","2026-04-19T11:58:28+00:00","step4_llmassist","","affordance","Describes an enabling technical capability or tooling depth."
"Demand Mitigation","1","r","TBS","2026-04-19T12:11:59+00:00","step4_llmassist","","outcome","Measures the effect of reducing or mitigating user demand."
"Repair Generation Failure","1","r","TBS","2026-04-19T12:27:29+00:00","step4_llmassist","","constraint","Describes a failure or limiting condition in the system's generation capabilities."
"Security Improvement In Complex Tasks","1","r","TBS","2026-04-19T12:40:21+00:00","step4_llmassist","","outcome","Measures a positive effect or improvement in security outcomes."
"Semantic Evaluation Challenge","1","r","TBS","2026-04-19T12:40:29+00:00","step4_llmassist","","constraint","Describes a challenge or limitation in evaluating semantics."
"Inline Code Completion","1","1","TBS","2026-04-19T12:21:16+00:00","step4_llmassist","","",""
"Full Codebase Processing","1","r","TBS","2026-04-19T12:17:26+00:00","step4_llmassist","","affordance","Describes an enabling technical capability or tooling depth that shapes interactions."
"Conversational Disambiguation","1","2","TBS","2026-04-19T12:06:40+00:00","step4_llmassist","","",""
"Ideation Primary Use Case","1","r","TBS","2026-04-19T12:20:11+00:00","step4_llmassist","","meta","Represents a research finding about how the tool is primarily adopted or used."
"Extraction Failure","1","r","TBS","2026-04-19T12:16:08+00:00","step4_llmassist","","constraint","Describes a failure or limiting condition in the system's extraction process."
"High Comment Resolution","1","r","TBS","2026-04-19T12:18:16+00:00","step4_llmassist","","outcome","Measures a successful effect or metric of resolving comments."
"Context-Dependent Security Benefits","1","r","TBS","2026-04-19T12:06:30+00:00","step4_llmassist","","outcome","Describes a measured effect or benefit regarding security outcomes."
"Preference For Built-In Helpers","1","r","TBS","2026-04-19T12:25:32+00:00","step4_llmassist","","meta","Describes a research finding regarding user preferences and adoption drivers."
"Inconsistency Breaks Mental Models","1","r","TBS","2026-04-19T12:20:55+00:00","step4_llmassist","","constraint","Describes a limiting condition where system inconsistency negatively impacts cognitive processing."
"Multi-Turn Dialog Fixing","1","2","TBS","2026-04-19T12:24:22+00:00","step4_llmassist","","",""
"Complete Diff Recommendation","1","5","TBS","2026-04-19T12:04:49+00:00","step4_llmassist","","",""
"False Security Confidence","1","4","TBS","2026-04-19T12:16:10+00:00","step4_llmassist","","",""
"Comprehension Enforcement","1","r","TBS","2026-04-19T12:04:57+00:00","step4_llmassist","","affordance","Describes a tooling mechanism or surface that shapes how comprehension is handled."
"Ai Replacing Human Crowds","1","r","TBS","2026-04-19T11:52:46+00:00","step4_llmassist","","meta","Represents a meta-observation about the broader phenomenon of AI adoption and impact."
"Agent Interaction Complexity","1","r","TBS","2026-04-19T11:48:27+00:00","step4_llmassist","","constraint","Describes complexity as a limiting condition or cognitive load factor."
"Multi-Method Generation Challenge","1","r","TBS","2026-04-19T12:24:20+00:00","step4_llmassist","","constraint","Describes a challenge or limiting condition in generation tasks."
"Preference For Diversity","1","r","TBS","2026-04-19T12:25:33+00:00","step4_llmassist","","meta","Describes a research finding regarding user preferences or adoption drivers."
"Efficiency And Accessibility","1","r","TBS","2026-04-19T12:13:59+00:00","step4_llmassist","","outcome","Measures positive effects such as improved efficiency and accessibility."
"Behavioral Changes","1","r","TBS","2026-04-19T11:59:25+00:00","step4_llmassist","","outcome","Measures the resulting effect or change in user behavior."
"Agent Response Types","1","r","TBS","2026-04-19T11:50:32+00:00","step4_llmassist","","meta","Categorizes the kinds of responses an agent provides, representing a research framing or methodology."
"Hypothesis Generation","1","r","TBS","2026-04-19T12:19:18+00:00","step4_llmassist","","outcome","Describes a learning gain or productivity effect resulting from the interaction."
"Perceived Usefulness","1","r","TBS","2026-04-19T12:25:16+00:00","step4_llmassist","","outcome","Measures user satisfaction and the perceived effect of the interaction."
"Human Vs Ai Help-Seeking","1","r","TBS","2026-04-19T12:18:48+00:00","step4_llmassist","","meta","Represents a research framing that compares two different paradigms of user behavior."
"Prompt Formulation Difficulty","1","r","TBS","2026-04-19T12:26:20+00:00","step4_llmassist","","constraint","Describes a skill gap or cognitive load that limits the user's ability to interact effectively."
"Accessible To Novices","1","r","TBS","2026-04-19T11:35:30+00:00","step4_llmassist","","meta","Identifies an adoption driver based on the tool's low barrier to entry for beginners."
"Code Detail Reminder","1","r","TBS","2026-04-19T12:00:30+00:00","step4_llmassist","","affordance","Describes a specific tooling capability or enabling surface that shapes the interaction."
"Llm-Based Text Input","1","r","TBS","2026-04-19T12:23:33+00:00","step4_llmassist","","affordance","Describes an enabling surface and integration method for user interaction."
"Rejection From Process Complexity","1","r","TBS","2026-04-19T12:27:26+00:00","step4_llmassist","","meta","Identifies an adoption inhibitor where complexity drives users away from the tool."
"Domain Fine-Tuning Necessity","1","r","TBS","2026-04-19T12:13:21+00:00","step4_llmassist","","constraint","Describes a limiting condition where the model requires additional training to be effective."
"Automated Data Structuring","1","5","TBS","2026-04-19T11:58:55+00:00","step4_llmassist","","",""
"Complementary To Traditional Methods","1","r","TBS","2026-04-19T12:04:47+00:00","step4_llmassist","","meta","A study finding and adoption driver detailing how the tool fits alongside existing workflows."
"Ide-Based Telemetry And Requests","1","r","TBS","2026-04-19T12:20:10+00:00","step4_llmassist","","affordance","Describes an integration and enabling surface within a development environment."
"Familiarity Skips Scaffolding","1","r","TBS","2026-04-19T12:16:11+00:00","step4_llmassist","","meta","A meta-observation about user behavior where prior knowledge alters their interaction path."
"Model Degradation Over Time","1","r","TBS","2026-04-19T12:24:06+00:00","step4_llmassist","","constraint","Describes a limiting condition where the system's performance worsens, hindering interaction."
"Cherry-Picking Solutions","1","4","TBS","2026-04-19T12:00:21+00:00","step4_llmassist","","",""
"Autonomous Exploration","1","5","TBS","2026-04-19T11:59:09+00:00","step4_llmassist","","",""
"Llm Personal Validation","1","4","TBS","2026-04-19T12:22:58+00:00","step4_llmassist","","",""
"Usability Challenges","1","r","TBS","2026-04-19T12:46:59+00:00","step4_llmassist","","constraint","Describes limiting factors and cognitive friction that impede smooth interaction."
"No Time Savings","1","r","TBS","2026-04-19T12:24:42+00:00","step4_llmassist","","outcome","Measures a lack of effect on velocity or productivity."
"Preference For General Tools","1","r","TBS","2026-04-19T12:25:34+00:00","step4_llmassist","","meta","A study finding describing an adoption driver based on user tool preferences."
"Unintended Quality Improvements","1","r","TBS","2026-04-19T12:46:57+00:00","step4_llmassist","","outcome","Measures a positive, albeit accidental, effect on accuracy or output quality."
"Llm Reasoning On Warnings","1","4","TBS","2026-04-19T12:23:07+00:00","step4_llmassist","","",""
"Data Processing Functions","1","r","TBS","2026-04-19T12:11:50+00:00","step4_llmassist","","affordance","Describes a tooling depth or capability that enables specific data interactions."
"Feedback-Driven Optimization","1","2","TBS","2026-04-19T12:16:17+00:00","step4_llmassist","","",""
"Json Formatting Dominance","1","r","TBS","2026-04-19T12:22:26+00:00","step4_llmassist","","meta","A study finding observing a prevalent pattern in how outputs are structured."
"Custom Tailored Llm Agent","1","5","TBS","2026-04-19T12:07:09+00:00","step4_llmassist","","",""
"Trade-Off Expediency Vs Security","1","r","TBS","2026-04-19T12:46:49+00:00","step4_llmassist","","meta","Describes a research finding or meta-observation regarding the behavioral balance between speed and security."
"Neutral Vulnerability Impact","1","r","TBS","2026-04-19T12:24:37+00:00","step4_llmassist","","outcome","Measures the specific effect on security vulnerabilities, noting the impact as neutral."
"Providing Feedforward Cues","1","2","TBS","2026-04-19T12:26:33+00:00","step4_llmassist","","",""
"Delegating Tedious Tasks","1","5","TBS","2026-04-19T12:11:56+00:00","step4_llmassist","","",""
"Invalid Bug Filtering","1","4","TBS","2026-04-19T12:22:03+00:00","step4_llmassist","","",""
"Context Requirements For Tests","1","r","TBS","2026-04-19T12:06:29+00:00","step4_llmassist","","constraint","Identifies a limiting condition or prerequisite needed for the system to successfully generate tests."
"High Zero-Revision Merge Rate","1","r","TBS","2026-04-19T12:18:41+00:00","step4_llmassist","","outcome","Measures a specific performance effect, specifically the rate of successful code merges without revisions."
"Assessment Validity Threat","1","r","TBS","2026-04-19T11:58:41+00:00","step4_llmassist","","meta","Represents a methodological concern or research framing regarding the validity of study assessments."
"Geographic Bias","1","r","TBS","2026-04-19T12:17:40+00:00","step4_llmassist","","constraint","Describes a systemic limitation or bias that restricts the fairness and generalizability of the system."
"Alert Fatigue And Trust","1","4","TBS","2026-04-19T11:56:00+00:00","step4_llmassist","","",""
"Simplified Employee Onboarding","1","r","TBS","2026-04-19T12:40:47+00:00","step4_llmassist","","outcome","Describes a positive effect or productivity gain resulting from the interaction during onboarding."
"Runtime Validation Requirement","1","4","TBS","2026-04-19T12:39:48+00:00","step4_llmassist","","",""
"Frameworks/Libraries Challenges","1","r","TBS","2026-04-19T12:17:07+00:00","step4_llmassist","","constraint","Identifies specific difficulties or limiting conditions encountered when working with external frameworks and libraries."
"Various Se Tasks","1","r","TBS","2026-04-19T12:47:09+00:00","step4_llmassist","","meta","Describes the research scope or framing by referencing the variety of software engineering tasks studied."
"Boilerplate Offloading Blindspot","1","r","TBS","2026-04-19T11:59:40+00:00","step4_llmassist","","constraint","Highlights a limiting condition or cognitive gap where users miss critical details when offloading work."
"Low Repair Cost","1","r","TBS","2026-04-19T12:23:47+00:00","step4_llmassist","","outcome","Measures a specific beneficial effect, specifically the reduced financial or temporal cost associated with repairs."
"Explanation Expectation","1","r","TBS","2026-04-19T12:16:07+00:00","step4_llmassist","","meta","Represents a meta-observation about user attitudes and expectations regarding system transparency and adoption."
"Contextual Alternative Generation","1","r","TBS","2026-04-19T12:06:33+00:00","step4_llmassist","","affordance","Describes an enabling capability or tooling feature that shapes how alternatives are provided to users."
"Over-Trust And Absent Verification","1","4","TBS","2026-04-19T12:25:03+00:00","step4_llmassist","","",""
"Llm Api Misuse Types","1","r","TBS","2026-04-19T12:22:49+00:00","step4_llmassist","","meta","Represents a research taxonomy or meta-observation categorizing the different ways an API is misused."
"Loss Of Social Validation","1","r","TBS","2026-04-19T12:23:40+00:00","step4_llmassist","","outcome","Measures a specific psychological or social effect resulting from the interaction."
"Accurate Answer Summarisation","1","r","TBS","2026-04-19T11:35:36+00:00","step4_llmassist","","outcome","Measures the accuracy and effectiveness of the system's summarization capabilities."
"Increased Perceived Fairness","1","r","TBS","2026-04-19T12:21:01+00:00","step4_llmassist","","outcome","Measures a positive shift in user sentiment and perception regarding fairness."
"Test Generation Unreliability","1","r","TBS","2026-04-19T12:46:33+00:00","step4_llmassist","","constraint","Describes a limiting condition where the system's inability to reliably generate tests hinders utility."
"Patch Review Task","1","4","TBS","2026-04-19T12:25:11+00:00","step4_llmassist","","",""
"Workplace Tool Usage","1","r","TBS","2026-04-19T12:48:00+00:00","step4_llmassist","","meta","Represents a meta-observation or study framing focused on general adoption and usage patterns of tools."
"Automated Clump Refactoring","1","5","TBS","2026-04-19T11:58:54+00:00","step4_llmassist","","",""
"Concept Simplification","1","2","TBS","2026-04-19T12:05:09+00:00","step4_llmassist","","",""
"Goal-Oriented Progress","1","r","TBS","2026-04-19T12:17:45+00:00","step4_llmassist","","outcome","Measures a positive effect related to achieving velocity and advancing toward specific objectives."
"Broad Se Task Coverage","1","r","TBS","2026-04-19T12:00:09+00:00","step4_llmassist","","affordance","Describes the breadth of the enabling surface and tooling capabilities available to the user."
"Constraints For Refinement","1","2","TBS","2026-04-19T12:06:23+00:00","step4_llmassist","","",""
"Automated Pr Creation","1","5","TBS","2026-04-19T11:59:02+00:00","step4_llmassist","","",""
"Improved Health Literacy","1","r","TBS","2026-04-19T12:20:24+00:00","step4_llmassist","","outcome","Measures a positive learning gain and educational effect resulting from the interaction."
"Visual Chain Authoring","1","3","TBS","2026-04-19T12:47:16+00:00","step4_llmassist","","",""
"Configuration Adjustment","1","3","TBS","2026-04-19T12:06:04+00:00","step4_llmassist","","",""
"Implicit User Intent","1","r","TBS","2026-04-19T12:20:19+00:00","step4_llmassist","","meta","A meta-observation framing the nature of the user's goals and how they approach the system."
"Inaccessible Visual Suggestions","1","r","TBS","2026-04-19T12:20:49+00:00","step4_llmassist","","constraint","Describes a barrier that limits the interaction and restricts scope for certain users."
"Prompt Dependency","1","r","TBS","2026-04-19T12:26:13+00:00","step4_llmassist","","constraint","Describes a limiting condition where system success relies heavily on specific user prompting skills."
"Positive Prediction Bias","1","r","TBS","2026-04-19T12:25:25+00:00","step4_llmassist","","constraint","Identifies a systemic flaw or limitation in the model's behavior that constrains accuracy."
"Qualitative User Evaluation","1","r","TBS","2026-04-19T12:26:37+00:00","step4_llmassist","","meta","Describes the research methodology and procedures used to study the phenomenon."
"Increased User Frustration","1","r","TBS","2026-04-19T12:21:09+00:00","step4_llmassist","","outcome","Measures a negative effect on user satisfaction and sentiment."
"Ide Metadata Context Injection","1","r","TBS","2026-04-19T12:19:25+00:00","step4_llmassist","","affordance","Describes an integration and tooling depth that enables and shapes the interaction."
"Blind Acceptance Of Vulnerabilities","1","4","TBS","2026-04-19T11:59:36+00:00","step4_llmassist","","",""
"Cascading Errors","1","r","TBS","2026-04-19T12:00:13+00:00","step4_llmassist","","constraint","Describes a limiting condition where initial mistakes compound, restricting the system's usefulness."
"Code Comprehension Use Case","1","r","TBS","2026-04-19T12:00:27+00:00","step4_llmassist","","meta","Frames the specific research scenario or use case being studied."
"Multi-Role Expert Study","1","r","TBS","2026-04-19T12:24:20+00:00","step4_llmassist","","meta","Describes the research methodology and participant framing of the study."
"Creative Problem-Solving","1","r","TBS","2026-04-19T12:07:04+00:00","step4_llmassist","","meta","Frames the type of task or phenomenon being observed in the research."
"Successful Code Migration","1","r","TBS","2026-04-19T12:46:12+00:00","step4_llmassist","","outcome","Measures a successful effect and productivity outcome resulting from the interaction."
"Interruption Costs","1","r","TBS","2026-04-19T12:21:59+00:00","step4_llmassist","","outcome","Measures the negative effect on user productivity and velocity."
"Noisy Human Feedback","1","4","TBS","2026-04-19T12:24:45+00:00","step4_llmassist","","",""
"Demographic Bias Vulnerability","1","r","TBS","2026-04-19T12:12:00+00:00","step4_llmassist","","constraint","Describes a systemic limitation and flaw restricting equitable use of the system."
"Hallucinated Identifiers","1","r","TBS","2026-04-19T12:17:58+00:00","step4_llmassist","","constraint","Describes a model limitation and error that constrains the reliability of the interaction."
"Adaptive Timing Controller","1","r","TBS","2026-04-19T11:47:09+00:00","step4_llmassist","","affordance","Describes an enabling system component or tooling surface that shapes the interaction."
"Output Unreliability And Non-Determinism","1","r","TBS","2026-04-19T12:25:01+00:00","step4_llmassist","","constraint","Describes a fundamental limitation in the system's consistency that restricts user trust."
"Low Perceived Persuasiveness","1","r","TBS","2026-04-19T12:23:46+00:00","step4_llmassist","","outcome","Measures an effect on user sentiment and attitude toward the system's output."
"Mandatory Human Verification","1","4","TBS","2026-04-19T12:23:53+00:00","step4_llmassist","","",""
"Evidence-Constrained Responses","1","r","TBS","2026-04-19T12:15:41+00:00","step4_llmassist","","constraint","Describes a limitation placed on the system's responses based on the availability of supporting evidence."
"High Fix Resolution Rate","1","r","TBS","2026-04-19T12:18:22+00:00","step4_llmassist","","outcome","Measures the successful effect of an interaction via a specific resolution rate metric."
"Ui Shortcuts For Common Tasks","1","r","TBS","2026-04-19T12:46:53+00:00","step4_llmassist","","affordance","Describes an enabling user interface surface that shapes how tasks are efficiently performed."
"Requirements Text Analysis","1","5","TBS","2026-04-19T12:39:27+00:00","step4_llmassist","","",""
"Metric Improvements","1","r","TBS","2026-04-19T12:23:59+00:00","step4_llmassist","","outcome","Explicitly measures a positive effect or quantitative gain resulting from the interaction."
"Comparable Student Performance","1","r","TBS","2026-04-19T12:04:45+00:00","step4_llmassist","","outcome","Measures the educational effect and learning gain of the interaction compared to a baseline."
"Automated Alert Summarisation","1","5","TBS","2026-04-19T11:58:52+00:00","step4_llmassist","","",""
"Developer Questionnaire","1","r","TBS","2026-04-19T12:12:22+00:00","step4_llmassist","","meta","Refers to a research methodology and data collection instrument rather than the interaction itself."
"Audio-Visual Sync Issues","1","r","TBS","2026-04-19T11:58:46+00:00","step4_llmassist","","constraint","Describes a technical limitation or friction point that degrades the quality of the interaction."
"Accessible Conversational Ui","1","2","TBS","2026-04-19T11:35:03+00:00","step4_llmassist","","",""
"Autonomous Llm Tool Execution","1","5","TBS","2026-04-19T11:59:12+00:00","step4_llmassist","","",""
"Human-In-The-Loop Fallback","1","r","TBS","2026-04-19T12:19:05+00:00","step4_llmassist","","affordance","Describes a system integration and tooling workflow that enables human intervention and recovery."
"Multi-Agent Chat Assistant","1","2","TBS","2026-04-19T12:24:17+00:00","step4_llmassist","","",""
"Need For Explainability","1","r","TBS","2026-04-19T12:24:29+00:00","step4_llmassist","","meta","Represents an adoption driver or user requirement rather than a direct measurement or enabling surface."
"Response Agreement Rate","1","r","TBS","2026-04-19T12:39:32+00:00","step4_llmassist","","outcome","Measures the effect or accuracy of the system via a quantitative agreement metric."
"Efficiency And Syntax Recall","1","r","TBS","2026-04-19T12:14:00+00:00","step4_llmassist","","outcome","Measures the productivity and cognitive effects resulting from the user's interaction with the system."
"Revealing Value Disagreements","1","r","TBS","2026-04-19T12:39:37+00:00","step4_llmassist","","outcome","Describes a concrete effect where the interaction surfaces underlying value misalignments among users."
"Human-Ai Benchmark Evaluation","1","r","TBS","2026-04-19T12:18:57+00:00","step4_llmassist","","meta","Refers to a research methodology and evaluation framing rather than a direct interaction surface."
"High Resolution Rate Via Hybrid System","1","r","TBS","2026-04-19T12:18:33+00:00","step4_llmassist","","outcome","Measures the successful effect and accuracy achieved through a specific hybrid system approach."
"Better Belief Calibration","1","r","TBS","2026-04-19T11:59:28+00:00","step4_llmassist","","outcome","Measures a positive cognitive effect and learning gain for the user."
"Nl For Complex Constraints","1","2","TBS","2026-04-19T12:24:39+00:00","step4_llmassist","","",""
"Llm Generation Errors","1","r","TBS","2026-04-19T12:22:52+00:00","step4_llmassist","","constraint","Describes a system failure or limitation that restricts successful interaction."
"Prompt Versioning","1","r","TBS","2026-04-19T12:26:25+00:00","step4_llmassist","","affordance","Describes a tooling depth and enabling surface for managing interactions over time."
"Limited Reliable Modeling","1","r","TBS","2026-04-19T12:22:47+00:00","step4_llmassist","","constraint","Explicitly describes a limitation in the system's capability or scope."
"Occasional Ai Usage","1","r","TBS","2026-04-19T12:24:48+00:00","step4_llmassist","","meta","Represents an observation about adoption and usage patterns rather than a specific interaction."
"Automated Infrastructure Deployment","1","5","TBS","2026-04-19T11:59:00+00:00","step4_llmassist","","",""
"Complex Reasoning Failure","1","r","TBS","2026-04-19T12:04:53+00:00","step4_llmassist","","constraint","Describes a limitation where the system fails at higher cognitive processing demands."
"Generation Latency","1","r","TBS","2026-04-19T12:17:37+00:00","step4_llmassist","","constraint","Latency is explicitly defined as a limiting condition that constrains the interaction."
"Api Vulnerability Detection","1","4","TBS","2026-04-19T11:58:35+00:00","step4_llmassist","","",""
"Increased Task Autonomy","1","r","TBS","2026-04-19T12:21:05+00:00","step4_llmassist","","outcome","Measures a positive effect on user capability and independence resulting from the interaction."
"Full-Stack Development","1","r","TBS","2026-04-19T12:17:29+00:00","step4_llmassist","","affordance","Describes the tooling depth and enabling surface area in which the interactions take place."
"Pr Summarization Generation","1","5","TBS","2026-04-19T12:25:29+00:00","step4_llmassist","","",""
"Intermediate Output Visibility","1","r","TBS","2026-04-19T12:21:56+00:00","step4_llmassist","","affordance","Describes an enabling surface feature that shapes how users perceive and interact with the system."
