"canonical_label","pass1_codes","in_vivo_codes","passage_ids","cluster_size","confirmed_by","confirmed_at","notes"
"AI Assisted Code Comprehension","[""AI code explanation"", ""AI for code explanation""]","[""explain line by line"", ""explains why""]","[""doi:10.1145/3779296:P004"", ""doi:10.1145/3658644.3690283:P003""]","2","TBS","2026-04-19T03:05:39+00:00",""
"Preference For Hybrid Generation","[""preference for hybrid generation""]","[""hybrid-created diagram is the most used""]","[""doi:10.1109/sse62657.2024.00046:P003""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Structural Framework Formulation","[""System design ideation"", ""System proposal""]","[""generation and evaluation of concepts, ideas, or architectures"", ""ChatGPT-based assessment system""]","[""doi:10.1016/j.infsof.2025.107751:P001"", ""doi:10.3390/educsci15020156:P001""]","2","TBS","2026-04-19T03:05:41+00:00",""
"Prompting Time Distribution","[""Prompting time distribution""]","[""writing the prompt""]","[""doi:10.1109/vl-hcc65237.2025.00034:P001""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Error Logging And Search","[""Error logging and search""]","[""captures and compiles records of failures""]","[""doi:10.3389/fpsyg.2022.868698:P001""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Strategy Variation By Interface","[""Strategy Variation by Interface""]","[""distinctive usage patterns and strategies""]","[""doi:10.1145/3661145:P002""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Reduced Investigation Time","[""Reduced investigation time""]","[""saves them roughly 41% ~ 60% of the time""]","[""doi:10.1109/cog60054.2024.10645540:P001""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Industry Llm Adoption Survey","[""Industry LLM adoption survey""]","[""surveyed 15 different software engineering companies""]","[""doi:10.1109/icsa-c63560.2024.00059:P002""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Specificity Tuning Issues","[""Specificity Tuning Issues""]","[""not specific enough or is too specific""]","[""doi:10.1145/3644815.3644945:P004""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Conversational Interaction Modality","[""Chat interface interaction"", ""Conversational Interface"", ""Visual and chat interaction""]","[""query input text box"", ""conversational system"", ""chat-based requirement analysis and visual programming""]","[""doi:10.5815/ijmecs.2025.05.07:P002"", ""doi:10.1145/3661145:P001"", ""doi:10.1145/3638247:P001""]","3","TBS","2026-04-18T13:59:19+00:00",""
"Bot-Supported Brainstorming","[""bot-supported brainstorming""]","[""brainstorming tasks related to a software engineering project""]","[""doi:10.1109/botse67031.2025.00013:P001""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Time Spent On Bodies","[""Time spent on bodies""]","[""body is the most time-consuming part""]","[""doi:10.1109/tse.2024.3364675:P002""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Student Skepticism Towards Ai","[""Student skepticism towards AI""]","[""skepticism persists""]","[""doi:10.1109/cseet62301.2024.10663028:P002""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"High Frequency Of Insecure Code","[""High frequency of insecure code""]","[""mistakes in the majority of code snippets""]","[""doi:10.1145/3658644.3690283:P005""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Prompting Improves Repair","[""Prompting improves repair""]","[""prompt engineering and dialogue can further improve its performance""]","[""doi:10.1007/s10515-025-00492-x:P001""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Facilitating Initial Task Steps","[""Task assistance patterns"", ""Task initiation assistance""]","[""tasks developers seek assistance"", ""useful starting point""]","[""doi:10.1145/3643991.3645077:P001"", ""doi:10.1145/3491101.3519665:P001""]","2","TBS","2026-04-19T03:05:42+00:00",""
"Compilation Errors","[""compilation errors""]","[""cannot be successfully parsed by compilers""]","[""doi:10.1145/3712005:P002""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"End-to-End Software Synthesis","[""App generation"", ""Full App Generation""]","[""constructing a complex app from scratch"", ""generate a mobile application from scratch""]","[""doi:10.1109/isec64801.2025.11147402:P003"", ""doi:10.1109/c358072.2023.10436306:P001""]","2","TBS","2026-04-19T03:05:46+00:00",""
"Training Data Memorisation","[""Training data memorisation""]","[""Bef. problems exceeds Aft. problems""]","[""doi:10.1109/tse.2024.3392499:P005""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Collegial Interaction","[""collegial interaction""]","[""treated as a colleague""]","[""doi:10.1145/3643758:P003""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Zero-Touch Code Generation","[""Zero-touch code generation""]","[""without writing any code manually""]","[""doi:10.3390/electronics15040903:P002""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Reduced Ai Use In Pp","[""Reduced AI use in PP""]","[""preferring human interactions""]","[""doi:10.24251/hicss.2025.883:P003""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Time-Saving Via Summaries","[""Time-saving via summaries""]","[""saved much time compared to looking into the documentation""]","[""doi:10.1109/vl-hcc65237.2025.00017:P002""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Natural Language Data Entry","[""Natural Language Process Input"", ""Semantic Text Input""]","[""describing the entire reactive maintenance process"", ""generate semantic text input""]","[""doi:10.1049/icp.2025.3640:P002"", ""doi:10.1145/3597503.3639180:P003""]","2","TBS","2026-04-19T03:05:46+00:00",""
"Time Reduction Benefit","[""Time reduction benefit""]","[""reduced authoring time by about 75%""]","[""doi:10.1109/icodse68111.2025.11351772:P003""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Review And Edit","[""Review and Edit""]","[""first reviewing and modifying it""]","[""doi:10.1145/3706599.3706670:P004""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Reduced Ownership Feeling","[""reduced ownership feeling""]","[""less sense of authorship and sense of responsibility""]","[""doi:10.1109/botse67031.2025.00013:P002""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Security Boundary Setting","[""Security boundary setting""]","[""deliberately excluded from security-critical workflows""]","[""doi:10.1145/3772363.3799079:P002""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Expediting Routine Syntax Construction","[""Boilerplate generation efficiency"", ""Efficiency in Boilerplate Generation""]","[""avoids the pain of typing again"", ""streamline certain processes like writing boilerplate""]","[""doi:10.1145/3756681.3757081:P001"", ""doi:10.1145/3770762.3772668:P002""]","2","TBS","2026-04-19T03:05:47+00:00",""
"Aligning User Trust Levels","[""Trust calibration"", ""trust calibration issues""]","[""increased perceived responsibility and appropriate trust calibration"", ""building their trust in our recommendations""]","[""doi:10.1145/3772363.3798543:P004"", ""doi:10.1145/3650212.3652142:P001""]","2","TBS","2026-04-19T03:05:48+00:00",""
"Transparency Fostering User Confidence","[""Higher trust and privacy perceptions"", ""Transparency increases trust""]","[""greater trust, higher perceived privacy, and less perceived hallucinations"", ""understanding how Copilot uses context""]","[""doi:10.1145/3772318.3790622:P001"", ""doi:10.1145/3769994.3770029:P002""]","2","TBS","2026-04-19T03:05:48+00:00",""
"Reduced Intellectual Engagement","[""Reduced intellectual engagement""]","[""Social loafing""]","[""doi:10.1145/3643690.3648236:P006""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Verification Difficulty For Novices","[""Verification difficulty for novices""]","[""don’t even know how to check if it’s right""]","[""doi:10.1186/s40594-025-00592-w:P003""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Privacy And Permission Concerns","[""Privacy and permission concerns""]","[""code privacy threat""]","[""doi:10.18293/seke2023-077:P005""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Manual Interference Causes Errors","[""manual interference causes errors""]","[""modify the edit content with their own interpretation""]","[""doi:10.1145/3650212.3652142:P003""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Web Ui Usage","[""Web UI usage""]","[""via OpenAI’s web interface (UI)""]","[""doi:10.15849/ijasca.250730.11:P004""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Framework Specific Proficiency","[""High accuracy on standard framework"", ""Low accuracy on alternative framework""]","[""ChatGPT does very well"", ""struggles to write a program""]","[""doi:10.1117/12.3049666:P003"", ""doi:10.1117/12.3049666:P004""]","2","TBS","2026-04-19T03:05:49+00:00",""
"Unintended Code Modification","[""Unintended code modification""]","[""rewrite code unrelated to the task""]","[""doi:10.1145/3756681.3757081:P002""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Significant Fix Effort","[""Significant fix effort""]","[""medium or more difficulty in terms of fixing""]","[""doi:10.1007/s10664-025-10614-4:P002""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Tactic Detection Limits","[""Tactic detection limits""]","[""limitations in recognizing traditional architectural strategies""]","[""doi:10.15849/ijasca.250730.11:P003""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Context-Injected Orchestration","[""context-injected orchestration""]","[""combines them into a master prompt""]","[""doi:10.14569/ijacsa.2025.0161272:P005""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Zero-Shot Type Typing Failure","[""Zero-shot type typing failure""]","[""inability to use Python’s typing feature""]","[""doi:10.1145/3674805.3690746:P003""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Llm Comment Distribution","[""LLM comment distribution""]","[""higher proportion of comments related to bugs and maintainability""]","[""doi:10.1109/ase63991.2025.00312:P001""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Low Acceptance Of Atg Tests","[""low acceptance of ATG tests""]","[""not suitable for addition to a regression test suite""]","[""doi:10.1109/icse-seip66354.2025.00042:P001""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Version Rollback Feature","[""Version rollback feature""]","[""restore a previous version""]","[""doi:10.1002/spe.3432:P003""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Requirement Reverse Engineering","[""Requirement reverse engineering""]","[""reverse-engineer requirements""]","[""doi:10.1109/icodse68111.2025.11351772:P001""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Activating Predictive Text Suggestions","[""Autocomplete Interaction"", ""Triggering inline autocomplete""]","[""auto-complete interface"", ""pressing tab on the to-be-complete prompt line""]","[""doi:10.1145/3661145:P001"", ""doi:10.1109/tkde.2024.3436883:P002""]","2","TBS","2026-04-19T03:05:50+00:00",""
"Perceived Educational Value","[""Perceived Educational Value""]","[""valuable tools for their learning processes""]","[""doi:10.1007/s40692-025-00375-w:P003""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Textbook Question Answering","[""Textbook question answering""]","[""tasking ChatGPT with answering questions""]","[""doi:10.1109/icstw58534.2023.00078:P001""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Adoption Success Performance Correlation","[""Acceptance rate improvement"", ""Acceptance rate predicts productivity""]","[""reducing blind rejections"", ""acceptance rate (accepted_per_shown)""]","[""doi:10.1109/asew67777.2025.00049:P002"", ""doi:10.1145/3520312.3534864:P002""]","2","TBS","2026-04-19T03:05:51+00:00",""
"Simulating Diverse Personas","[""Simulating diverse personas""]","[""integrates GenderMag persona facets into three LLM-agents""]","[""doi:10.1145/3801978:P002""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"LLM Driven Test Synthesis","[""Interactive LLM Testing"", ""LLM test generation"", ""LLM-assisted unit testing"", ""LLM-based test generation"", ""LLMs for unit testing""]","[""chat with mobile apps"", ""generating test suggestions"", ""wrote unit tests"", ""generate input programs for fuzzing"", ""novel avenue for unit test script generation""]","[""doi:10.1145/3597503.3639180:P001"", ""doi:10.1145/3600211.3604712:P001"", ""doi:10.1109/icst62969.2025.10988960:P002"", ""doi:10.1145/3597926.3598067:P001"", ""doi:10.1145/3643795.3648396:P001""]","5","TBS","2026-04-18T12:59:43+00:00",""
"Repetitive Generic Questions","[""repetitive generic questions""]","[""chief frustration was generic hypotheticals""]","[""doi:10.1145/3770762.3772662:P005""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Interdependent Task Coherence","[""Interdependent task coherence""]","[""decreased coherence""]","[""doi:10.1145/3491101.3519729:P005""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Popular Languages","[""Popular Languages""]","[""major programming languages""]","[""doi:10.1142/s0218194023410048:P001""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Syntax And Parameter Hallucinations","[""Syntax and parameter hallucinations""]","[""failed initially with mismatch of parameters""]","[""doi:10.25103/jestr.186.21:P006""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Syntax Correction Capability","[""Syntax correction capability""]","[""correct the syntax""]","[""doi:10.1109/rew57809.2023.00052:P004""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Review Speed Quality Tradeoffs","[""Efficient but lower quality review"", ""Review efficiency bottlenecks"", ""Review overhead"", ""reduced review time""]","[""significant efficiency in the document review process"", ""express a need for more effective tools"", ""loss of productivity analyzing AI proposals"", ""decreasing the review time""]","[""doi:10.1109/acdsa65407.2025.11165833:P001"", ""doi:10.1145/3696630.3728552:P001"", ""doi:10.24251/hicss.2025.719:P002"", ""doi:10.1145/3643773:P002""]","4","TBS","2026-04-18T13:07:42+00:00",""
"LLM Driven Code Repair","[""LLM automated program repair"", ""LLM test repair""]","[""taxonomy-guided LLM-based APR"", ""successfully repair a substantial portion of these brittle tests""]","[""doi:10.1109/tse.2026.3651566:P004"", ""doi:10.1109/ase63991.2025.00251:P001""]","2","TBS","2026-04-19T03:05:52+00:00",""
"Standardized Prompting Frameworks","[""Prompt template reuse"", ""Prompt template structure""]","[""reusable prompt-based templates"", ""lightweight prompt templates""]","[""doi:10.51983/ijiss-2025.ijiss.15.2.46:P004"", ""doi:10.1145/3696630.3728533:P001""]","2","TBS","2026-04-19T03:05:53+00:00",""
"Project Documentation","[""Project documentation""]","[""generating README files""]","[""doi:10.1145/3716640.3716657:P004""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Comprehensive Development Lifecycle Integration","[""Broad SDLC usage"", ""SDLC Activity Usage""]","[""every stage of software development"", ""generating code, self-studying, bug fixing, and documenting""]","[""doi:10.1145/3643991.3645071:P002"", ""doi:10.1145/3704611.3704621:P001""]","2","TBS","2026-04-19T03:05:53+00:00",""
"Autonomous Compilation Error Resolution","[""Automated compile error fixing"", ""Autonomous compilation repair""]","[""most (70%) of C.E. code snippets can be fixed"", ""automated repair approach""]","[""doi:10.1109/tse.2024.3392499:P004"", ""doi:10.1109/dsd67783.2025.00025:P001""]","2","TBS","2026-04-19T03:05:54+00:00",""
"User Behavior With False Predictions","[""User behavior with false predictions""]","[""concerning user behaviours""]","[""doi:10.1109/ase63991.2025.00117:P001""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Participant Sample Size","[""Participant sample size""]","[""recruit 100 workers for each modality""]","[""doi:10.1145/3726302.3729960:P003""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Hybrid Empirical Assessment","[""Mixed Methods Evaluation"", ""Mixed-methods empirical setup""]","[""mixed-methods approach"", ""two-stage human study""]","[""doi:10.1109/icodse68111.2025.11351919:P002"", ""doi:10.1145/3716167:P001""]","2","TBS","2026-04-19T03:05:55+00:00",""
"Self-Hosting For Security","[""Self-hosting for security""]","[""self-hosted instance""]","[""doi:10.1145/3704611.3704621:P004""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Mixed User Base","[""mixed user base""]","[""novice debaters to experienced argumentation enthusiasts""]","[""doi:10.1109/icei64305.2024.10912343:P002""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Static Non-Interactive Feedback","[""Static non-interactive feedback""]","[""static, one-shot predictions rather than interactive chatbots""]","[""doi:10.1145/3772318.3791851:P002""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Moderate Answer Accuracy","[""Moderate answer accuracy""]","[""correct or partially correct answers in 55.6% of cases""]","[""doi:10.1109/icstw58534.2023.00078:P002""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Persona-Based Usability Evaluation","[""Persona-based usability evaluation""]","[""LLM-agent system for GenderMag persona-based usability testing""]","[""doi:10.1145/3801978:P001""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Statistical Insignificance","[""Statistical insignificance""]","[""do not produce statistically significant differences""]","[""doi:10.1145/3756681.3756938:P003""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Practitioner Pushback","[""Practitioner pushback""]","[""organizational resistance driven by perceived role displacement""]","[""doi:10.1145/3806655:P005""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"User Fulfillment And Productivity","[""User fulfillment and productivity""]","[""productivity and sense of fulfillment""]","[""doi:10.1145/3613905.3650764:P002""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"User Study Demographics","[""User study demographics""]","[""user study with 15 participants""]","[""doi:10.1109/ase63991.2025.00250:P001""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Reduced Public Help-Seeking","[""reduced public help-seeking""]","[""statistically distinguishable monotonic decline""]","[""doi:10.59543/gk2qp136:P002""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Testing Frameworks Integration","[""Testing frameworks integration""]","[""generating or enhancing test cases""]","[""doi:10.1109/saner64311.2025.00015:P003""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Sequential Screen Reader Processing","[""Sequential screen reader processing""]","[""work sequentially and not parallel""]","[""doi:10.1145/3706598.3714008:P002""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Zero-Shot Prompting","[""Zero-shot prompting""]","[""prompts were zero-shot""]","[""doi:10.1145/3643991.3645081:P004""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"User Profiling Mechanism","[""User profiling mechanism""]","[""dynamic user profiling""]","[""doi:10.1109/ro-man63969.2025.11217707:P001""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Format Limitation","[""Format limitation""]","[""unable to design the notebook itself""]","[""doi:10.1553/giscience2023_01_s140:P003""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Self-Contradictory Behavior","[""Self-contradictory behavior""]","[""self-contradictory hallucinations""]","[""doi:10.1109/tse.2024.3492204:P003""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Multi-Agent Rule Refinement","[""Multi-agent rule refinement""]","[""multi-agent workflow to refine alert rules""]","[""doi:10.1109/ase63991.2025.00009:P002""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Missing Version Constraints","[""missing version constraints""]","[""bias towards the dependencies’ latest version""]","[""doi:10.1145/3643991.3645075:P002""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Content Deletion Action","[""content deletion action""]","[""Deletion emerges as the most frequent""]","[""doi:10.1145/3643773:P004""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Iterative AI Code Troubleshooting","[""AI debugging assistance"", ""Iterative AI debugging""]","[""debugging, error explanation, and syntax resolution"", ""resolved with the help of ChatGPT""]","[""doi:10.1109/icsme58944.2024.00045:P005"", ""doi:10.1515/labmed-2024-0034:P002""]","2","TBS","2026-04-19T03:05:56+00:00",""
"Hybrid Llm-Heuristic Localization","[""hybrid LLM-heuristic localization""]","[""improve web element localization even further by combining an LLM with a traditional algorithm""]","[""doi:10.1002/stvr.1893:P001""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Valuable Study Aid","[""Valuable study aid""]","[""positive impressions of chatbots as study aids""]","[""doi:10.1134/s0361768824700774:P003""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Workflow Convenience","[""workflow convenience""]","[""convenient and easy to handle""]","[""doi:10.1145/3663529.3663803:P002""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Separating Task From Format","[""Separating task from format""]","[""separation of concerns""]","[""doi:10.1145/3613905.3650756:P003""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Project-Based Evaluation","[""Project-based evaluation""]","[""applied to four customized software development projects""]","[""doi:10.1109/iccbe65177.2025.11255927:P001""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Speed Efficiency","[""speed efficiency""]","[""substantially faster than a human engineer""]","[""doi:10.1145/3653718:P004""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Structured Metacognitive Reasoning","[""Structured metacognitive reasoning""]","[""four-phase conversational scaffold""]","[""doi:10.1145/3769694.3771107:P003""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Need For Customization","[""Need for customization""]","[""more customization options to tailor Copilot’s behavior""]","[""doi:10.1016/j.jss.2024.112204:P004""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Quantum Circuit Generation","[""Quantum circuit generation""]","[""write straightforward quantum circuits""]","[""doi:10.1117/12.3049666:P001""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Rule-Grounded Explainability","[""Rule-grounded explainability""]","[""enhanced trust and explainability""]","[""doi:10.1109/ase63991.2025.00315:P004""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Competence Driving Technology Adoption","[""Skill-dependent tool adoption"", ""Tool adoption in industry""]","[""more skilled in coding were more inclined to use AI"", ""incorporation of an AI coding assistant tool""]","[""doi:10.1145/3643795.3648379:P002"", ""doi:10.1109/ieem62345.2024.10857157:P001""]","2","TBS","2026-04-19T03:05:56+00:00",""
"Relationship Extraction Difficulty","[""relationship extraction difficulty""]","[""extracting and analyzing relationships is not LLM's strong suit""]","[""doi:10.1109/sse62657.2024.00046:P004""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Risk Of Shallow Learning","[""Risk of shallow learning""]","[""surface-level engagement""]","[""doi:10.1145/3769694.3771107:P004""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Verifying Correctness","[""Verifying correctness""]","[""Difficulty distinguishing between correct and incorrect solutions""]","[""doi:10.1145/3716640.3716657:P005""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Scalable Automated Evaluation","[""Scalable automated evaluation""]","[""support user story quality evaluation at scale""]","[""doi:10.5815/ijmecs.2026.02.05:P004""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Workload Reduction","[""Workload reduction""]","[""useful code generation""]","[""doi:10.18293/seke2023-077:P002""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Issue-Specific Review Challenges","[""issue-specific review challenges""]","[""building code review applications for different types of problems""]","[""doi:10.1145/3712005:P003""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Increased Localization Success Rate","[""increased localization success rate""]","[""demonstrated improved performance, reducing failed localizations""]","[""doi:10.1002/stvr.1893:P002""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"High Recommendation Accuracy","[""High recommendation accuracy""]","[""matched 100%""]","[""doi:10.1145/3745900.3746089:P002""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Office Hour Augmentation","[""office hour augmentation""]","[""providing troubleshooting opportunities""]","[""doi:10.1145/3770762.3772662:P004""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Faster Prototyping","[""Faster prototyping""]","[""accelerating the prototyping phase""]","[""doi:10.5152/electrica.2026.25033:P001""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Increased Merge Probability","[""increased merge probability""]","[""more likely to be merged""]","[""doi:10.1145/3643773:P003""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Manual Terminology Refinement","[""manual terminology refinement""]","[""fine-tune the phrasing or terminology""]","[""doi:10.1145/3643773:P005""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Comprehensive Requirement Specification","[""Improved requirement quality"", ""improves requirement coverage""]","[""produce higher-quality user stories"", ""think about an error scenario""]","[""doi:10.1109/cseet62301.2024.10662994:P001"", ""doi:10.1109/ast66626.2025.00007:P004""]","2","TBS","2026-04-19T03:05:57+00:00",""
"Text Input Friction","[""Text Input Friction""]","[""cognitive burden""]","[""doi:10.1145/3706598.3713852:P002""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Context Extraction Via Pdg","[""context extraction via PDG""]","[""traversal of the program dependency graph""]","[""doi:10.1145/3653718:P003""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Visual Failure Organization","[""Visual failure organization""]","[""organizes discovered failures into a tree structure""]","[""doi:10.1145/3600211.3604712:P002""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Reduced Search Effort","[""reduced search effort""]","[""mitigate the efforts in finding the cross-file code duplication""]","[""doi:10.1145/3650212.3652142:P002""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Precise Fault Localization","[""Error identification"", ""Localised error identification""]","[""identify erroneous lines of code"", ""AI “unit tests\""""]","[""doi:10.1109/tbdata.2024.3524104:P002"", ""doi:10.1145/3491102.3517582:P003""]","2","TBS","2026-04-19T03:05:58+00:00",""
"Visual Sequential Code Tracing","[""Stepwise visual debugging"", ""Visual debugging aids""]","[""executed one at a time"", ""more intuitive debugging assistance""]","[""doi:10.1145/3638247:P005"", ""doi:10.1145/3746059.3747689:P001""]","2","TBS","2026-04-19T03:05:58+00:00",""
"Motion Recording Support","[""Motion recording support""]","[""record robotic arm movements""]","[""doi:10.1145/3745900.3746089:P001""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Real-Time Troubleshooting Help","[""Real-time troubleshooting help""]","[""troubleshooting code issues""]","[""doi:10.18421/tem134-10:P003""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Model Insensitivity To Prompt Patterns","[""Model insensitivity to prompt patterns""]","[""insensitive to finer adjustments""]","[""doi:10.1145/3756681.3756938:P004""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Automated Technical Asset Synthesis","[""Automated code and docs"", ""Automated documentation""]","[""generates a code snippet with documentation"", ""comprehensive API documentation""]","[""doi:10.1145/3715014.3722064:P005"", ""doi:10.5152/electrica.2026.25033:P004""]","2","TBS","2026-04-19T03:05:59+00:00",""
"Popup Ui Helpfulness","[""popup UI helpfulness""]","[""popup window to present the suggestions""]","[""doi:10.1145/3663529.3663803:P003""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Decision Support","[""decision support""]","[""arrive at the correct final decision""]","[""doi:10.1609/aaai.v39i27.35063:P003""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Structured Test Design Assistance","[""Guided test generation"", ""Test plan generation""]","[""guided to focus on the nuances"", ""provide standardized test plan templates or frameworks""]","[""doi:10.1109/ase56229.2023.00089:P001"", ""doi:10.1109/icst60714.2024.00039:P005""]","2","TBS","2026-04-19T03:06:00+00:00",""
"Post-Interaction Evaluation","[""Post-interaction evaluation""]","[""assess the confidence of both players""]","[""doi:10.1038/s41598-025-98378-1:P004""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Pattern Detection Performance","[""Pattern detection performance""]","[""57% accuracy for pattern detection""]","[""doi:10.15849/ijasca.250730.11:P002""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Detection Performance Levels","[""High detection accuracy"", ""Low detection accuracy""]","[""49% bug detection rate"", ""lowest compared with other baseline methods""]","[""doi:10.1109/apsec65559.2024.00017:P002"", ""doi:10.1109/apsec60848.2023.00085:P001""]","2","TBS","2026-04-19T03:06:01+00:00",""
"User Ranking Of Ai Outputs","[""User ranking of AI outputs""]","[""user study was conducted to rank""]","[""doi:10.1145/3706598.3713600:P004""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Poor Relationship Identification","[""poor relationship identification""]","[""accurately identifying relationships between classes is the lowest""]","[""doi:10.1109/sse62657.2024.00046:P002""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Coding Performance Distinction","[""coding performance distinction""]","[""performed well in solving simple coding problems""]","[""doi:10.1145/3643758:P001""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Tam Motivational Factors","[""TAM Motivational Factors""]","[""learning motivation""]","[""doi:10.1007/s40692-025-00375-w:P005""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
